DEPT,GR,Helper
202.0824,19.57367,1
202.2348,20.62975,1
202.3872,21.34908,1
202.5396,20.90405,1
202.692,20.70894,1
202.8444,20.50204,1
202.9968,19.55742,1
203.1492,18.7769,1
203.3016,18.68556,1
203.454,19.71089,1
203.6064,19.09806,1
203.7588,17.83126,1
203.9112,17.02177,1
204.0636,17.17161,1
204.216,17.47254,1
204.3684,16.93208,1
204.5208,16.22729,1
204.6732,16.757,1
204.8256,16.82486,1
204.978,16.65253,1
205.1304,16.04227,1
205.2828,15.98408,1
205.4352,16.5369,1
205.5876,16.55548,1
205.74,16.07346,1
205.8924,15.98007,1
206.0448,16.9008,1
206.1972,17.40412,1
206.3496,16.9907,1
206.502,17.75303,1
206.6544,18.07713,1
206.8068,17.50164,1
206.9592,17.69254,1
207.1116,18.14473,1
207.264,18.76397,1
207.4164,18.88248,1
207.5688,18.19196,1
207.7212,17.42229,1
207.8736,16.39934,1
208.026,15.70522,1
208.1784,16.17105,1
208.3308,17.23701,1
208.4832,17.33949,1
208.6356,17.03637,1
208.788,16.47576,1
208.9404,16.28672,1
209.0928,16.31081,1
209.2452,16.7234,1
209.3976,17.44279,1
209.55,18.47404,1
209.7024,19.13533,1
209.8548,18.95986,1
210.0072,20.14168,1
210.1596,20.97625,1
210.312,20.96682,1
210.4644,19.96952,1
210.6168,19.94913,1
210.7692,21.07871,1
210.9216,20.96678,1
211.074,20.05225,1
211.2264,19.535,1
211.3788,20.01955,1
211.5312,20.77031,1
211.6836,20.43713,1
211.836,18.73359,1
211.9884,17.80889,1
212.1408,17.69178,1
212.2932,16.92919,1
212.4456,16.57307,1
212.598,17.06997,1
212.7504,18.03927,1
212.9028,18.58077,1
213.0552,18.79068,1
213.2076,18.34964,1
213.36,17.40667,1
213.5124,16.85223,1
213.6648,17.2965,1
213.8172,17.72878,1
213.9696,17.80893,1
214.122,17.5819,1
214.2744,17.15748,1
214.4268,17.49762,1
214.5792,18.28878,1
214.7316,18.44547,1
214.884,17.61104,1
215.0364,17.27744,1
215.1888,17.49213,1
215.3412,17.27524,1
215.4936,16.65916,1
215.646,16.56073,1
215.7984,16.9426,1
215.9508,17.43199,1
216.1032,17.92061,1
216.2556,16.94686,1
216.408,18.64603,1
216.5604,19.40507,1
216.7128,19.8661,1
216.8652,20.46621,1
217.0176,20.16392,1
217.17,19.04284,1
217.3224,18.3553,1
217.4748,18.8923,1
217.6272,19.24532,1
217.7796,18.39914,1
217.932,17.42884,1
218.0844,16.8602,1
218.2368,16.45728,1
218.3892,16.69165,1
218.5416,18.88236,1
218.694,20.64197,1
218.8464,21.13884,1
218.9988,20.08595,1
219.1512,19.31408,1
219.3036,19.55067,1
219.456,20.61684,1
219.6084,20.8331,1
219.7608,20.33276,1
219.9132,20.34984,1
220.0656,20.95748,1
220.218,22.02209,1
220.3704,22.99887,1
220.5228,23.33335,1
220.6752,22.20892,1
220.8276,21.21278,1
220.98,20.6763,1
221.1324,20.97103,1
221.2848,21.61945,1
221.4372,22.0661,1
221.5896,21.95651,1
221.742,20.98479,1
221.8944,19.83944,1
222.0468,18.4763,1
222.1992,18.1216,1
222.3516,18.36922,1
222.504,18.9501,1
222.6564,19.02243,1
222.8088,18.4036,1
222.9612,18.10062,1
223.1136,19.52336,1
223.266,20.3944,1
223.4184,19.69616,1
223.5708,19.01382,1
223.7232,19.15392,1
223.8756,19.1063,1
224.028,18.70901,1
224.1804,19.11549,1
224.3328,18.70667,1
224.4852,18.23279,1
224.6376,18.56243,1
224.79,18.66177,1
224.9424,18.17021,1
225.0948,17.42563,1
225.2472,16.76987,1
225.3996,16.26569,1
225.552,16.33294,1
225.7044,18.33784,1
225.8568,18.7122,1
226.0092,17.46662,1
226.1616,16.87816,1
226.314,15.2628,1
226.4664,13.63568,1
226.6188,13.98699,1
226.7712,15.51509,1
226.9236,15.75461,1
227.076,15.11393,1
227.2284,15.51772,1
227.3808,16.3632,1
227.5332,16.56865,1
227.6856,15.87477,1
227.838,15.29268,1
227.9904,14.89252,1
228.1428,15.00019,1
228.2952,15.67397,1
228.4476,16.49696,1
228.6,16.98358,1
228.7524,16.52081,1
228.9048,16.08667,1
229.0572,16.09352,1
229.2096,17.72464,1
229.362,18.69576,1
229.5144,18.40965,1
229.6668,16.75864,1
229.8192,15.50735,1
229.9716,15.40852,1
230.124,16.53918,1
230.2764,17.67703,1
230.4288,18.49361,1
230.5812,18.7587,1
230.7336,18.68346,1
230.886,19.40877,1
231.0384,19.22118,1
231.1908,19.47684,1
231.3432,19.05099,1
231.4956,19.91849,1
231.648,20.70137,1
231.8004,20.13181,1
231.9528,18.79834,1
232.1052,17.80371,1
232.2576,17.54594,1
232.41,17.47403,1
232.5624,16.94432,1
232.7148,15.65159,1
232.8672,14.75802,1
233.0196,15.69411,1
233.172,16.85168,1
233.3244,17.35393,1
233.4768,17.35674,1
233.6292,17.67967,1
233.7816,18.01724,1
233.934,18.59541,1
234.0864,18.87964,1
234.2388,19.39839,1
234.3912,19.55957,1
234.5436,18.47049,1
234.696,17.24391,1
234.8484,17.90077,1
235.0008,19.10809,1
235.1532,19.08447,1
235.3056,17.85133,1
235.458,16.93126,1
235.6104,18.09016,1
235.7628,19.13158,1
235.9152,18.92546,1
236.0676,18.07625,1
236.22,17.69945,1
236.3724,17.9949,1
236.5248,17.69131,1
236.6772,17.44948,1
236.8296,17.6638,1
236.982,18.46632,1
237.1344,19.59958,1
237.2868,20.29083,1
237.4392,19.01582,1
237.5916,17.72768,1
237.744,17.46606,1
237.8964,17.21085,1
238.0488,16.89545,1
238.2012,17.20459,1
238.3536,17.73048,1
238.506,18.22978,1
238.6584,18.16319,1
238.8108,17.22638,1
238.9632,16.44319,1
239.1156,15.79734,1
239.268,16.55714,1
239.4204,17.23837,1
239.5728,17.1375,1
239.7252,16.95697,1
239.8776,17.54926,1
240.03,17.58809,1
240.1824,16.8401,1
240.3348,17.17775,1
240.4872,17.90378,1
240.6396,17.81674,1
240.792,17.91228,1
240.9444,18.15628,1
241.0968,17.8849,1
241.2492,18.94969,1
241.4016,19.71558,1
241.554,19.01529,1
241.7064,17.96733,1
241.8588,18.13361,1
242.0112,19.09326,1
242.1636,20.57178,1
242.316,21.81836,1
242.4684,22.53246,1
242.6208,21.58365,1
242.7732,20.66396,1
242.9256,19.58151,1
243.078,19.31755,1
243.2304,19.64091,1
243.3828,20.17131,1
243.5352,19.45544,1
243.6876,19.05511,1
243.84,19.93639,1
243.9924,19.79344,1
244.1448,18.85536,1
244.2972,18.40555,1
244.4496,19.32211,1
244.602,18.74931,1
244.7544,17.47684,1
244.9068,16.36632,1
245.0592,15.97525,1
245.2116,16.91989,1
245.364,16.48199,1
245.5164,16.31091,1
245.6688,16.81601,1
245.8212,16.19511,1
245.9736,16.94318,1
246.126,19.05168,1
246.2784,20.59129,1
246.4308,21.48407,1
246.5832,19.55949,1
246.7356,18.08513,1
246.888,18.4073,1
247.0404,18.76132,1
247.1928,18.23407,1
247.3452,17.43425,1
247.4976,17.2787,1
247.65,17.52266,1
247.8024,17.27911,1
247.9548,16.79454,1
248.1072,16.37892,1
248.2596,16.649,1
248.412,17.98756,1
248.5644,19.28046,1
248.7168,20.31036,1
248.8692,20.63275,1
249.0216,21.38934,1
249.174,21.32867,1
249.3264,20.32585,1
249.4788,20.48245,1
249.6312,20.17064,1
249.7836,21.1035,1
249.936,22.31184,1
250.0884,23.07051,1
250.2408,22.89357,1
250.3932,22.20747,1
250.5456,22.00555,1
250.698,22.88773,1
250.8504,24.04411,1
251.0028,24.51036,1
251.1552,23.41756,1
251.3076,21.84859,1
251.46,22.73401,1
251.6124,23.54431,1
251.7648,23.01096,1
251.9172,21.52042,1
252.0696,21.61232,1
252.222,20.57463,1
252.3744,20.23918,1
252.5268,21.03703,1
252.6792,21.11853,1
252.8316,20.52998,1
252.984,19.5137,1
253.1364,19.31216,1
253.2888,20.26215,1
253.4412,19.36778,1
253.5936,20.58092,1
253.746,21.93964,1
253.8984,22.72624,1
254.0508,22.59557,1
254.2032,21.53036,1
254.3556,21.82317,1
254.508,20.97772,1
254.6604,20.92401,1
254.8128,21.06046,1
254.9652,20.42728,1
255.1176,19.52789,1
255.27,18.70042,1
255.4224,18.24007,1
255.5748,18.78134,1
255.7272,17.75887,1
255.8796,16.99692,1
256.032,17.17607,1
256.1844,17.70129,1
256.3368,18.32126,1
256.4892,18.79933,1
256.6416,19.04628,1
256.794,18.67067,1
256.9464,18.58914,1
257.0988,19.38496,1
257.2512,20.06931,1
257.4036,19.78619,1
257.556,18.28766,1
257.7084,16.56348,1
257.8608,15.33613,1
258.0132,14.88193,1
258.1656,14.54561,1
258.318,14.19917,1
258.4704,14.09885,1
258.6228,14.24343,1
258.7752,15.25845,1
258.9276,17.33289,1
259.08,20.60555,1
259.2324,24.42944,1
259.3848,27.78822,1
259.5372,29.83531,1
259.6896,30.94789,1
259.842,31.31403,1
259.9944,31.06682,1
260.1468,29.56419,1
260.2992,25.84128,1
260.4516,23.71632,1
260.604,22.8009,1
260.7564,21.9191,1
260.9088,21.16176,1
261.0612,20.50116,1
261.2136,20.0132,1
261.366,20.0979,1
261.5184,20.37012,1
261.6708,20.28055,1
261.8232,19.84488,1
261.9756,19.1198,1
262.128,18.45836,1
262.2804,17.9104,1
262.4328,17.64723,1
262.5852,17.93472,1
262.7376,18.48749,1
262.89,19.15166,1
263.0424,19.53308,1
263.1948,18.98384,1
263.3472,17.72141,1
263.4996,17.26419,1
263.652,17.45604,1
263.8044,17.59248,1
263.9568,16.78148,1
264.1092,15.78973,1
264.2616,15.50317,1
264.414,16.12471,1
264.5664,17.0215,1
264.7188,20.24205,1
264.8712,20.72646,1
265.0236,20.00735,1
265.176,18.81696,1
265.3284,18.21187,1
265.4808,18.33702,1
265.6332,19.64549,1
265.7856,21.52866,1
265.938,22.00133,1
266.0904,21.66106,1
266.2428,22.76143,1
266.3952,22.42381,1
266.5476,21.92393,1
266.7,21.81293,1
266.8524,19.70151,1
267.0048,17.90393,1
267.1572,17.02533,1
