DEPTH_WMSF,HSGR,Helper
51.6636,6.1872,1
51.816,6.0338,1
51.9684,4.8321,1
52.1208,4.9484,1
52.2732,4.3658,1
52.4256,4.3114,1
52.578,4.0392,1
52.7304,4.0923,1
52.8828,4.3494,1
53.0352,5.0852,1
53.1876,4.562,1
53.34,4.3058,1
53.4924,4.3036,1
53.6448,4.2513,1
53.7972,4.6687,1
53.9496,3.7874,1
54.102,4.362,1
54.2544,3.1576,1
54.4068,3.5179,1
54.5592,4.3553,1
54.7116,5.8733,1
54.864,5.7159,1
55.0164,4.9788,1
55.1688,4.557,1
55.3212,4.4523,1
55.4736,4.0862,1
55.626,4.3539,1
55.7784,4.1426,1
55.9308,4.6164,1
56.0832,3.9352,1
56.2356,4.4069,1
56.388,3.5181,1
56.5404,4.8265,1
56.6928,4.6706,1
56.8452,5.299,1
56.9976,3.7319,1
57.15,3.419,1
57.3024,3.3227,1
57.4548,3.8425,1
57.6072,4.3126,1
57.7596,5.2454,1
57.912,5.8338,1
58.0644,5.8283,1
58.2168,4.9479,1
58.3692,4.6681,1
58.5216,4.2998,1
58.674,4.4056,1
58.8264,4.4629,1
58.9788,5.049,1
59.1312,5.3618,1
59.2836,5.6709,1
59.436,4.9861,1
59.5884,5.0837,1
59.7408,4.3549,1
59.8932,4.8261,1
60.0456,4.2503,1
60.198,4.1982,1
60.3504,5.0908,1
60.5028,5.039,1
60.6552,5.1971,1
60.8076,4.0933,1
60.96,4.1003,1
61.1124,3.9415,1
61.2648,4.1078,1
61.4172,4.0981,1
61.5696,3.9965,1
61.722,3.579,1
61.8744,4.4182,1
62.0268,4.4167,1
62.1792,4.6185,1
62.3316,4.5683,1
62.484,4.7187,1
62.6364,5.5007,1
62.7888,4.985,1
62.9412,5.4066,1
63.0936,5.3646,1
63.246,5.298,1
63.3984,5.7136,1
63.5508,5.5523,1
63.7032,7.0707,1
63.8556,6.5019,1
64.008,6.6025,1
64.1604,6.0869,1
64.3128,6.5047,1
64.4652,6.5535,1
64.6176,5.7641,1
64.77,5.5018,1
64.9224,5.1454,1
65.0748,4.8836,1
65.2272,5.6212,1
65.3796,5.4061,1
65.532,5.719,1
65.6844,5.0325,1
65.8368,6.8155,1
65.9892,6.9777,1
66.1416,6.5631,1
66.294,4.8828,1
66.4464,5.0897,1
66.5988,5.4052,1
66.7512,5.3567,1
66.9036,4.521,1
67.056,4.0953,1
67.2084,4.0036,1
67.3608,4.4209,1
67.5132,4.4351,1
67.6656,4.9426,1
67.818,4.8882,1
67.9704,5.6151,1
68.1228,5.4607,1
68.2752,6.4527,1
68.4276,7.1814,1
68.58,7.2338,1
68.7324,6.3468,1
68.8848,5.4022,1
69.0372,5.195,1
69.1896,4.7256,1
69.342,4.3092,1
69.4944,4.6261,1
69.6468,4.7822,1
69.7992,4.7268,1
69.9516,4.3532,1
70.104,4.3517,1
70.2564,4.4644,1
70.4088,4.9281,1
70.5612,4.9304,1
70.7136,4.5589,1
70.866,3.7839,1
71.0184,3.6813,1
71.1708,4.3624,1
71.3232,4.045,1
71.4756,4.7237,1
71.628,4.5161,1
71.7804,5.0424,1
71.9328,4.2039,1
72.0852,3.9938,1
72.2376,4.2538,1
72.39,4.5106,1
72.5424,4.403,1
72.6948,4.3398,1
72.8472,4.8679,1
72.9996,5.1813,1
73.152,5.3998,1
73.3044,5.395,1
73.4568,5.2899,1
73.6092,5.1838,1
73.7616,5.7105,1
73.914,6.1842,1
74.0664,6.0766,1
74.2188,6.1277,1
74.3712,5.2387,1
74.5236,5.2401,1
74.676,4.2537,1
74.8284,4.2516,1
74.9808,4.4714,1
75.1332,4.6274,1
75.2856,5.3086,1
75.438,4.9878,1
75.5904,4.1989,1
75.7428,3.6795,1
75.8952,3.9358,1
76.0476,4.5694,1
76.2,4.6132,1
76.3524,4.4641,1
76.5048,3.9883,1
76.6572,4.197,1
76.8096,4.2466,1
76.962,5.2339,1
77.1144,4.9762,1
77.2668,4.2974,1
77.4192,3.7343,1
77.5716,3.8906,1
77.724,3.7327,1
77.8764,3.8839,1
78.0288,3.7865,1
78.1812,3.9935,1
78.3336,3.8865,1
78.486,4.0958,1
78.6384,3.9924,1
78.7908,3.6729,1
78.9432,4.2445,1
79.0956,4.8731,1
79.248,4.3048,1
79.4004,3.2027,1
79.5528,2.8374,1
79.7052,3.6752,1
79.8576,4.2498,1
80.01,4.0426,1
80.1624,3.8939,1
80.3148,3.3675,1
80.4672,3.2612,1
80.6196,3.461,1
80.772,4.8237,1
80.9244,5.7121,1
81.0768,5.6135,1
81.2292,4.2076,1
81.3816,4.3634,1
81.534,3.9936,1
81.6864,4.5123,1
81.8388,3.9927,1
81.9912,4.4656,1
82.1436,4.2113,1
82.296,3.8386,1
82.4484,3.5221,1
82.6008,3.6218,1
82.7532,3.8868,1
82.9056,4.9821,1
83.058,5.2396,1
83.2104,6.6546,1
83.3628,6.1877,1
83.5152,6.1471,1
83.6676,4.7834,1
83.82,5.0425,1
83.9724,6.2919,1
84.1248,10.526,1
84.2772,15.4366,1
84.4296,20.1445,1
84.582,22.9674,1
84.7344,23.0897,1
84.8868,23.4009,1
85.0392,22.8293,1
85.1916,24.3308,1
85.344,27.2191,1
85.4964,27.2219,1
85.6488,26.454,1
85.8012,24.9307,1
85.9536,26.6586,1
86.106,28.5911,1
86.2584,28.6792,1
86.4108,28.2155,1
86.5632,27.5834,1
86.7156,26.743,1
86.868,27.5211,1
87.0204,26.3737,1
87.1728,25.6163,1
87.3252,24.021,1
87.4776,24.3922,1
87.63,25.0065,1
87.7824,24.4683,1
87.9348,24.2057,1
88.0872,23.8537,1
88.2396,23.7443,1
88.392,24.2112,1
88.5444,23.1491,1
88.6968,24.6165,1
88.8492,23.3481,1
89.0016,24.9808,1
89.154,23.5577,1
89.3064,24.7232,1
89.4588,23.4565,1
89.6112,23.0324,1
89.7636,20.8817,1
89.916,20.939,1
90.0684,21.3201,1
90.2208,22.5772,1
90.3732,23.9489,1
90.5256,23.043,1
90.678,24.7084,1
90.8304,22.9787,1
90.9828,23.5058,1
91.1352,22.7191,1
91.2876,23.1909,1
91.44,22.6125,1
91.5924,21.6241,1
91.7448,21.2368,1
91.8972,21.7591,1
92.0496,21.4491,1
92.202,21.6076,1
92.3544,21.8194,1
92.5068,21.6526,1
92.6592,22.3419,1
92.8116,23.493,1
92.964,24.9159,1
93.1164,25.2394,1
93.2688,24.5788,1
93.4212,23.8011,1
93.5736,22.0704,1
93.726,21.9092,1
93.8784,20.4253,1
94.0308,21.5179,1
94.1832,19.9949,1
94.3356,20.2513,1
94.488,19.476,1
94.6404,21.0826,1
94.7928,23.0435,1
94.9452,23.3049,1
95.0976,23.2657,1
95.25,22.3131,1
95.4024,22.7791,1
95.5548,23.1436,1
95.7072,25.1311,1
95.8596,25.9769,1
96.012,24.9262,1
96.1644,23.8574,1
96.3168,22.9666,1
96.4692,23.4895,1
96.6216,23.8315,1
96.774,24.3471,1
96.9264,23.9924,1
97.0788,22.6249,1
97.2312,22.0529,1
97.3836,23.5061,1
